deposit_address,confidence,deposit_address_validator_count,withdrawal_addresses,avg_activation_epoch,related_withdrawal_address_validator_count
0xb286d3d723b59c5013aab916bbb7d1f00f9bd8e0,0.9995944,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xaf8be0513a6f81c1a0ddf34c9829107343e50f76,0.99959046,1,[0x96b16974fe6844d02391e43c7d54ca006a782723],0,2
0x658d1df2e10c43ac70b5b88bd1f9a498c78c1d76,0.99958867,1,[0x9ad36008308dc13f6e0fa439cd746f2140795c4d],0,3
0x6ad0df0b87f63996d82fa447966e0882254f345a,0.99958587,1,[0x111281a96f19c3bb31cc21e222efb3ee9e0fab02],0,1
0x91cce3c45642aeeec2ddc383ee84ed521ee6e2b1,0.99958557,1,[0x8987681d2d571b578a14607cc0f48769e28067e7],91944,1
0x0e49cf0cf5e1ad8474c213e3c58b117a99bb1745,0.99957836,60,[0xa169d48fca36318049f5bbe09ee7e1fd9d3b76c2],34293,100
0xd7915383b8ecf1c49b08962bdb5746707da92891,0.9995762,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xbe477476928dcd12ab47babf7d27a5775ec07313,0.9995729,1,[0x7fe7ebb9e16e0c310df0e5f615d7f84f84f11753],148545,1
0xc38efb4a5a4cdf9d454043168d8984a2f897832b,0.9995687,1,[0x1c4d09d1f0b02774196031717e9328f74fff678d],0,7
0x48d47cf85940ada207ed96e8483ae67301716155,0.9995686,2,[],0,
0xacb87fcf28bd3c3e8411d483461bfca576d4b37c,0.9995655,1,[0xacb87fcf28bd3c3e8411d483461bfca576d4b37c],48809,1
0x99e0e4c76a21cbe4e63c6b82da208f209d162f7a,0.99956465,1,[0x99e0e4c76a21cbe4e63c6b82da208f209d162f7a],0,1
0xc71f9ddf5a1436bf11a1dadb20644357c28ecb63,0.99956346,2,"[0x61043fb3e2d06970d4b3caae5fe124850b1c0724,0xc8168244b09dc9452fdab880f9c14aa53d4960f4]",21177,2
0xddbcae1cdd960eb4a63794b47689ca1c1afaaf3e,0.9995626,1,[0xd283e41339c593f31bbbab77e895cc9077d8f2bc],30063,1
0x5251075708424059dd064ffc831440f5e718d7cc,0.99956065,1,[0x767edfa0d66ed281aacf529877de43891b308660],20775,1
0xca55123aba844d347d0a18d91a958eda531447ff,0.99955857,1,[],11215,
0xc5cfb51072c32d255b7e0848e2824f634cf44874,0.9995564,25,[0xabd6c51de173f356d8b845b9b72d904dff00d746],6079,156
0xaab690caabfbe6d4c9b1897da18d834c2c8d6856,0.99955386,1,[0xaab690caabfbe6d4c9b1897da18d834c2c8d6856],27117,1
0x46c0f98c2819c3dd090d40feb594de596528a2c7,0.9995494,1,[],0,
0xfc2952b4c49fedd0bc0528a308495e6d6a1c71d6,0.9995492,62,[0x8d564bd294441154dbb6c0b46b1c0569bdb82d4c],1058,62
0x62ad5335969b11f2d049e366c99ecfd033f33e6b,0.99954736,2,[0x444472820d547d95866cb63cae22ce7cba3e4862],6685,2
0x32d9289304d9c3fcb44a729feed17d93a8bc60e9,0.99954736,2,[0x32d9289304d9c3fcb44a729feed17d93a8bc60e9],3941,2
0x34bf8dcb3ed8cf8aab57b1d8330cab8ba5246708,0.9995473,74,[0x3bcd0fa1a5c3bd68be325cc52faf6fcb092b8839],1767,74
0xbf7a4beffd3aecdbfbdd0e0bf9ac91b64b48a8ce,0.9995436,1,[],28406,
0x59e3c89105161c19f2883844f87e4478c0f62e4c,0.9995433,2,"[0xd72ba4b5b9e44bc8fa5b2b2ddd0bd6557be899dc,0x842c8cf76f99e98f707a8364175c436c62f09121]",107346,2
0xb28d62be4e624bcde9967ebd401c8b8b67cccdd4,0.99954206,1,[],1317,
0xe02b5d6b911523e23a0884cf3004ed5e0f4198bd,0.9995415,1,[0xe02b5d6b911523e23a0884cf3004ed5e0f4198bd],0,1
0x27d0e2499e2a78920902944b4566069059a271f6,0.9995414,1,[0x27d0e2499e2a78920902944b4566069059a271f6],13073,1
